,date,dx,dy,distance,x,y,lon,lat
20,2022-03-27,19078,5217,49970.50172321438,-1670445.9424783103,1755482.7025752815,-43.57812356257931,-68.07449157936173
21,2022-03-26,3687,-2871,33028.95966397917,-1666758.9424783103,1752611.7025752815,-43.56173311744824,-68.11682199921803
22,2022-03-25,-5568,-2612,30541.441275941237,-1672326.9424783103,1749999.7025752815,-43.69984431388887,-68.09894806909503
23,2022-03-24,-13362,1317,36689.758265910044,-1685688.9424783103,1751316.7025752815,-43.90610107346408,-68.00551706320007
24,2022-03-23,-3864,-6618,19481.632539456645,-1689552.9424783103,1744698.7025752815,-44.080047674048544,-68.02454739087929
25,2022-03-22,2745,-8429,22048.50413247813,-1686807.9424783103,1736269.7025752815,-44.172162250538506,-68.0974777054482
26,2022-03-21,5379,-574,30765.557645843386,-1681428.9424783103,1735695.7025752815,-44.09017220662503,-68.13555705482416
27,2022-03-20,-1885,-1477,34014.01707424767,-1683313.9424783103,1734218.7025752815,-44.14663222220293,-68.13324998002008
28,2022-03-19,-10038,-2029,34244.90638160076,-1693351.9424783103,1732189.7025752815,-44.35042552957342,-68.08240691265077
29,2022-03-18,-6363,-485,31517.353344817588,-1699714.9424783103,1731704.7025752815,-44.46586971734444,-68.04479379009729
30,2022-03-17,1718,-7142,29944.28052544289,-1697996.9424783103,1724562.7025752815,-44.555281565805394,-68.10247933407533
31,2022-03-16,7344,-7603,23048.99379405926,-1690652.9424783103,1716959.7025752815,-44.557685529208825,-68.19929071889877
32,2022-03-15,10935,-6882,18809.312351604458,-1679717.9424783103,1710077.7025752815,-44.486860036816566,-68.31443566231125
33,2022-03-14,11410,-6210,23603.459482240196,-1668307.9424783103,1703867.7025752815,-44.395835545261335,-68.4281723637983
34,2022-03-13,8564,-1619,33589.19280939527,-1659743.9424783103,1702248.7025752815,-44.275663608350314,-68.49356082533659
35,2022-03-12,5872,1956,42093.694289482824,-1653871.9424783103,1704204.7025752815,-44.14128261527127,-68.51820466950603
36,2022-03-11,3918,1871,48022.14050273866,-1649953.9424783103,1706075.7025752815,-44.041951161500975,-68.53085773121555
37,2022-03-10,1489,-3009,52054.64230532678,-1648464.9424783103,1703066.7025752815,-44.06664355198357,-68.56012736679716
38,2022-03-09,-1340,-1970,53384.864090852556,-1649804.9424783103,1701096.7025752815,-44.12305039039268,-68.56454253617781
39,2022-03-08,299,125,52035.91375167886,-1649505.9424783103,1701221.7025752815,-44.115756381406875,-68.56562632900399
40,2022-03-07,3452,-5669,52333.26817813929,-1646053.9424783103,1695552.7025752815,-44.15134755756578,-68.62486316325135
41,2022-03-06,3747,-7433,54916.220486885766,-1642306.9424783103,1688119.7025752815,-44.211899093479765,-68.69754006099015
42,2022-03-05,4267,-7569,47260.53660381139,-1638039.9424783103,1680550.7025752815,-44.266087871459824,-68.77439611612378
43,2022-03-04,346,-12047,70799.58032327703,-1637693.9424783103,1668503.7025752815,-44.466088142641645,-68.85540130350881
44,2022-03-03,-3792,-10115,71238.88454947341,-1641485.9424783103,1658388.7025752815,-44.70651965602927,-68.89695036726134
45,2022-03-02,8178,-4562,64165.56910241552,-1633307.9424783103,1653826.7025752815,-44.64235627305299,-68.97921694478006
46,2022-03-01,9176,-2660,70995.64883988719,-1624131.9424783103,1651166.7025752815,-44.52708358982539,-69.05545355040685
47,2022-02-28,-6728,-3,74576.99844640149,-1630859.9424783103,1651163.7025752815,-44.645552546997706,-69.01227919153969
48,2022-02-27,1105,2840,72936.72778963065,-1629754.9424783103,1654003.7025752815,-44.57690972171339,-69.00088581003122
49,2022-02-26,1638,3854,74515.75881006602,-1628116.9424783103,1657857.7025752815,-44.48144045836228,-68.98626288902733
50,2022-02-25,2666,4187,51903.77459244188,-1625450.9424783103,1662044.7025752815,-44.362255756961325,-68.9759792024204
51,2022-02-24,4986,2630,26191.458818757135,-1620464.9424783103,1664674.7025752815,-44.22898870587084,-68.99060974783231
52,2022-02-23,5954,1280,31352.15731731942,-1614510.9424783103,1665954.7025752815,-44.10156999864814,-69.020152584759
53,2022-02-22,8263,-4950,36387.76849316862,-1606247.9424783103,1661004.7025752815,-44.03985460780915,-69.10523677160279
54,2022-02-21,9365,-2543,33507.44261833531,-1596882.9424783103,1658461.7025752815,-43.91631064835679,-69.18143188402053
55,2022-02-20,2211,-632,47380.31121312746,-1594671.9424783103,1657829.7025752815,-43.887558326627826,-69.1996135730548
56,2022-02-19,2270,-4530,22547.208730038343,-1592401.9424783103,1653299.7025752815,-43.92510906258524,-69.24384592758787
57,2022-02-18,6395,-1068,50044.19019027335,-1586006.9424783103,1652231.7025752815,-43.82841543982624,-69.29140581791079
58,2022-02-17,7172,866,12650.07058995914,-1578834.9424783103,1653097.7025752815,-43.68369963387986,-69.33103027541809
59,2022-02-16,7593,580,11215.977507345475,-1571241.9424783103,1653677.7025752815,-43.535717690425855,-69.37506426581788
60,2022-02-15,6725,-1754,70804.79435382101,-1564516.9424783103,1651923.7025752815,-43.44337055349411,-69.4289987252073
61,2022-02-14,8358,-1973,17404.743794342085,-1556158.9424783103,1649950.7025752815,-43.32434308232645,-69.49457209710414
62,2022-02-13,13522,507,74091.73833387777,-1542636.9424783103,1650457.7025752815,-43.06603660089997,-69.57577468462286
63,2022-02-12,11460,6352,37100.62991946482,-1531176.9424783103,1656809.7025752815,-42.74324522098613,-69.60454841996038
64,2022-02-11,1995,2755,49843.74228761163,-1529181.9424783103,1659564.7025752815,-42.65857130435282,-69.59841082968244
65,2022-02-10,-1938,1877,52611.47704929125,-1531119.9424783103,1661441.7025752815,-42.6624590452199,-69.57379802188781
66,2022-02-09,-3698,-6031,51473.94659813658,-1534817.9424783103,1655410.7025752815,-42.835212196683926,-69.59132964794085
67,2022-02-08,-10156,-160,45951.53040883084,-1544973.9424783103,1655250.7025752815,-43.026421725010856,-69.52918969868527
68,2022-02-07,-6610,2874,36309.552140424734,-1551583.9424783103,1658124.7025752815,-43.09886312163371,-69.46875455451725
69,2022-02-06,-4218,-1934,83313.91529236572,-1555801.9424783103,1656190.7025752815,-43.2098400816127,-69.45528241713558
70,2022-02-05,1213,-5170,80138.74491362144,-1554588.9424783103,1651020.7025752815,-43.276937074087776,-69.49729581571793
71,2022-02-04,6823,-610,75613.8103225498,-1547765.9424783103,1650410.7025752815,-43.16173585313039,-69.54405609894603
72,2022-02-03,9875,2362,32194.046205038154,-1537890.9424783103,1652772.7025752815,-42.937921847453396,-69.58988174458538
73,2022-02-02,2292,9311,23606.26408996979,-1535598.9424783103,1662083.7025752815,-42.734838731820545,-69.54173103206678
74,2022-02-01,-8781,12087,27127.080081244723,-1544379.9424783103,1674170.7025752815,-42.69075073571464,-69.40612986570055
75,2022-01-31,-12075,7494,41952.542219158306,-1556454.9424783103,1681664.7025752815,-42.785622721780484,-69.28090941414017
76,2022-01-30,-11942,-3519,45595.56154210564,-1568396.9424783103,1678145.7025752815,-43.06386430149547,-69.23011321851155
77,2022-01-29,-7030,-3631,37707.74679619356,-1575426.9424783103,1674514.7025752815,-43.25364487263745,-69.21036471150398
