,date,dx,dy,distance,x,y,lon,lat
0,2022-04-18,7,4446,28691.037608488685,-2084743.5855253465,1923489.5205887253,-47.303807531535064,-64.27576774729238
1,2022-04-17,1289,-3587,25566.35424694737,-2083454.5855253465,1919902.5205887253,-47.339445275725424,-64.3069376760657
2,2022-04-16,3164,-12223,27186.929500461694,-2080290.5855253465,1907679.5205887253,-47.47838279675755,-64.40471315426574
3,2022-04-15,8310,-12649,31567.88888433699,-2071980.5855253465,1895030.5205887253,-47.554007454277134,-64.53999322911253
4,2022-04-14,6817,-24931,16737.9474939991,-2065163.5855253465,1870099.5205887253,-47.83772834431804,-64.74114179408967
5,2022-04-13,10079,-18140,9141.208463885167,-2055084.5855253465,1851959.5205887253,-47.97609649187145,-64.92210154219505
6,2022-04-12,1926,-2520,29592.017361730464,-2053158.5855253465,1849439.5205887253,-47.98817802585967,-64.95082284122545
7,2022-04-11,-5902,2135,35220.84543277194,-2059060.5855253465,1851574.5205887253,-48.03708712436377,-64.89725017467164
8,2022-04-10,1356,-10831,35149.488696309396,-2057704.5855253465,1840743.5205887253,-48.18540679844759,-64.97317119609386
9,2022-04-09,4574,-4022,25416.12305279504,-2053130.5855253465,1836721.5205887253,-48.18432597333751,-65.02927290904138
10,2022-04-08,4349,701,24403.581450945185,-2048781.5855253465,1837422.5205887253,-48.11307974718645,-65.05480228572003
11,2022-04-07,6622,-8354,27829.6445584696,-2042159.5855253465,1829068.5205887253,-48.15065650259019,-65.15156460229962
12,2022-04-06,14136,-17998,77940.83804299684,-2028023.5855253465,1811070.5205887253,-48.23443172998769,-65.35903630074692
13,2022-04-05,17453,-18963,68969.04213943167,-2010570.5855253465,1792107.5205887253,-48.28801643152817,-65.59506632030805
14,2022-04-04,6998,-9461,96231.70163320398,-2003572.5855253465,1782646.5205887253,-48.33942495018382,-65.7010315089756
15,2022-04-03,-9435,-1912,87001.11957649744,-2013007.5855253465,1780734.5205887253,-48.503578891279695,-65.64777676003611
16,2022-04-02,-6684,2936,84912.3742591851,-2019691.5855253465,1783670.5205887253,-48.550987724454984,-65.58381059843184
17,2022-04-01,4456,-3524,88333.64310885836,-2015235.5855253465,1780146.5205887253,-48.54441905276479,-65.63600214401525
18,2022-03-31,11337,-3972,84435.45190997921,-2003898.5855253465,1776174.5205887253,-48.44752001947599,-65.7383201601054
19,2022-03-30,10864,-4531,105739.63016836844,-1993034.5855253465,1771643.5205887253,-48.365541729545065,-65.8407127542536
20,2022-03-29,21964,-14651,138742.70385751638,-1971070.5855253465,1756992.5205887253,-48.28650936443581,-66.08112167722183
21,2022-03-28,23689,-2457,146196.10518691852,-1947381.5855253465,1754535.5205887253,-47.982045950620986,-66.2583344922521
22,2022-03-27,24226,6237,119243.16164699443,-1923155.5855253465,1760772.5205887253,-47.52389444593243,-66.38458406651735
23,2022-03-26,7813,795,129072.83275717463,-1915342.5855253465,1761567.5205887253,-47.39481807815996,-66.4325313602144
24,2022-03-25,-3050,-2472,127960.8398025412,-1918392.5855253465,1759095.5205887253,-47.48032003441477,-66.42725456037839
25,2022-03-24,-10838,-168,68317.25137539195,-1929230.5855253465,1758927.5205887253,-47.64379139540407,-66.35481190292313
26,2022-03-23,-5016,-4898,125310.51928346288,-1934246.5855253465,1754029.5205887253,-47.79736959045935,-66.35098895260568
27,2022-03-22,1600,-5540,119727.2936648634,-1932646.5855253465,1748489.5205887253,-47.863961843535215,-66.39605354611072
28,2022-03-21,7220,-1891,114465.34337278636,-1925426.5855253465,1746598.5205887253,-47.78810856816089,-66.45687250371152
29,2022-03-20,513,-1845,113919.75309867192,-1924913.5855253465,1744753.5205887253,-47.81064461807078,-66.4717479648835
30,2022-03-19,-6961,-2786,112230.81725019433,-1931874.5855253465,1741967.5205887253,-47.95908130390534,-66.44147694980448
31,2022-03-18,-5103,-5152,108146.70660116324,-1936977.5855253465,1736815.5205887253,-48.11860614637541,-66.43826339118007
32,2022-03-17,1553,-6496,102305.4684039204,-1935424.5855253465,1730319.5205887253,-48.202464207163814,-66.48869571804721
33,2022-03-16,5754,-5507,157715.33185851356,-1929670.5855253465,1724812.5205887253,-48.208451337820016,-66.56180825361987
34,2022-03-15,8254,-3665,152931.38048650697,-1921416.5855253465,1721147.5205887253,-48.14696760173992,-66.64074132307462
35,2022-03-14,8916,-759,150082.14474362307,-1912500.5855253465,1720388.5205887253,-48.02705836916581,-66.70632217919656
36,2022-03-13,7286,1909,147687.35577171188,-1905214.5855253465,1722297.5205887253,-47.88669102005748,-66.74426479266603
37,2022-03-12,5492,1959,148623.2914577145,-1899722.5855253465,1724256.5205887253,-47.77198614083767,-66.76956087739894
38,2022-03-11,3509,1615,150094.61260511787,-1896213.5855253465,1725871.5205887253,-47.692563903708894,-66.78342803229422
39,2022-03-10,912,-2018,151507.9733003788,-1895301.5855253465,1723853.5205887253,-47.71221095899105,-66.80208878312472
40,2022-03-09,-990,-2327,149453.35688314654,-1896291.5855253465,1721526.5205887253,-47.765623477664334,-66.80972903303544
41,2022-03-08,205,406,147171.09549959624,-1896086.5855253465,1721932.5205887253,-47.755816580933775,-66.80861680719912
42,2022-03-07,1440,-1882,147567.2492277747,-1894646.5855253465,1720050.5205887253,-47.765335117691464,-66.8300176944993
43,2022-03-06,649,-4640,145628.39789599009,-1893997.5855253465,1715410.5205887253,-47.832582843317915,-66.8630425492302
44,2022-03-05,58,-6580,140968.91573214703,-1893939.5855253465,1708830.5205887253,-47.94125071162126,-66.9039401783969
45,2022-03-04,-1996,-6706,146978.1780460618,-1895935.5855253465,1702124.5205887253,-48.08328223391781,-66.93149874091411
46,2022-03-03,-3494,-8764,180670.28245212228,-1899429.5855253465,1693360.5205887253,-48.28267604000423,-66.96123028340658
47,2022-03-02,8653,-4602,181161.47479239685,-1890776.5855253465,1688758.5205887253,-48.23017278312863,-67.0485983853614
48,2022-03-01,13126,-5906,176340.56547214766,-1877650.5855253465,1682852.5205887253,-48.13157734111639,-67.1744856627668
49,2022-02-28,6969,-4749,170919.77034562436,-1870681.5855253465,1678103.5205887253,-48.10616119810475,-67.25116854534323
50,2022-02-27,2532,-273,166869.14762837597,-1868149.5855253465,1677830.5205887253,-48.07221874266806,-67.27012559041367
51,2022-02-26,1309,3552,143816.9460625421,-1866840.5855253465,1681382.5205887253,-47.992005701401936,-67.2572651971418
52,2022-02-25,2575,4370,169109.56401771627,-1864265.5855253465,1685752.5205887253,-47.878700081384196,-67.24794437449759
53,2022-02-24,4826,4775,114045.02097764231,-1859439.5855253465,1690527.5205887253,-47.724153346630004,-67.25131847608714
54,2022-02-23,2533,4189,148678.53911694782,-1856906.5855253465,1694716.5205887253,-47.61467902810861,-67.2426193433581
55,2022-02-22,4029,822,124520.00976959424,-1852877.5855253465,1695538.5205887253,-47.53886890466612,-67.26481449714568
56,2022-02-21,8678,113,159973.91230179273,-1844199.5855253465,1695651.5205887253,-47.40297856562881,-67.32277231486067
57,2022-02-20,3050,208,129300.51193134132,-1841149.5855253465,1695859.5205887253,-47.35222187814337,-67.34206453836426
58,2022-02-19,1791,-4248,149155.88847313076,-1839358.5855253465,1691611.5205887253,-47.39604066226359,-67.38053427984016
59,2022-02-18,6621,-3448,127347.63127303346,-1832737.5855253465,1688163.5205887253,-47.35133925030536,-67.44662275573583
60,2022-02-17,8062,609,169650.23318255102,-1824675.5855253465,1688772.5205887253,-47.21514358618416,-67.49714825787046
61,2022-02-16,7685,823,164025.9512398101,-1816990.5855253465,1689595.5205887253,-47.0806535196692,-67.54367268128709
62,2022-02-15,5946,-1398,159032.9493758272,-1811044.5855253465,1688197.5205887253,-47.010643621129056,-67.59230411309692
63,2022-02-14,7166,-1114,153856.2528734801,-1803878.5855253465,1687083.5205887253,-46.91619643990066,-67.64728907708255
64,2022-02-13,7719,-913,141381.1430683468,-1796159.5855253465,1686170.5205887253,-46.80908031893157,-67.70464205947704
65,2022-02-12,9691,5364,142342.557413487,-1786468.5855253465,1691534.5205887253,-46.563532532551406,-67.73554478666297
66,2022-02-11,3001,2046,123033.71587466629,-1783467.5855253465,1693580.5205887253,-46.480854584312326,-67.74260068855602
67,2022-02-10,-764,-420,125985.73439847954,-1784231.5855253465,1693160.5205887253,-46.50020331394729,-67.74017244755677
68,2022-02-09,-2708,-5872,179482.1500069238,-1786939.5855253465,1687288.5205887253,-46.64296075664921,-67.75914475156071
