,lon,lat,dt,x,y
0,-31.943802460651973,-68.98971071754089,2022-04-11 10:08:06,-1229203.5447804562,1971437.0043517007
1,-41.39984025157697,-66.4438413158107,2022-04-16 16:01:03,-1720073.1165047155,1951050.9411487312
2,-44.7875913153691,-65.7737907069698,2022-04-17 13:25:10,-1883713.9424783103,1897732.7025752815
3,-47.369977014280494,-64.30351239705567,2022-04-19 14:04:51,-2084750.5855253465,1919043.5205887253
4,-51.38650938757608,-63.5309656356124,2022-04-22 15:20:23,-2279441.7726200116,1820533.3587515245
