,date,dx,dy,distance,x,y,lon,lat
0,2022-04-15,9419,-15750,23061.005409519905,-1710654.1165047155,1935300.9411487312,-41.474157446225384,-66.60954639112438
1,2022-04-14,6765,-18745,18938.577033602338,-1703889.1165047155,1916555.9411487312,-41.63827905889983,-66.77954999997415
2,2022-04-13,9435,-383,32720.971623309782,-1694454.1165047155,1916172.9411487312,-41.48603387584058,-66.83964445237335
3,2022-04-12,4059,11630,29352.6673026507,-1690395.1165047155,1927802.9411487312,-41.24592257165237,-66.78414171615599
4,2022-04-11,3764,-4989,21840.857258142925,-1686631.1165047155,1922813.9411487312,-41.25620709073305,-66.8413590805687
5,2022-04-10,8520,-4668,27823.65332985646,-1678111.1165047155,1918145.9411487312,-41.18141488834342,-66.92512148525245
6,2022-04-09,9903,-1490,35891.51770051242,-1668208.1165047155,1916655.9411487312,-41.0354741203794,-66.99518242100991
7,2022-04-08,5535,-9546,42244.31685977797,-1662673.1165047155,1907109.9411487312,-41.08285126203398,-67.0945957131178
8,2022-04-07,5996,-13114,32244.935716456515,-1656677.1165047155,1893995.9411487312,-41.17616908440661,-67.22140416082064
9,2022-04-06,17555,-23598,70016.98323669974,-1639122.1165047155,1870397.9411487312,-41.22968493008548,-67.49029676299243
10,2022-04-05,16048,-18493,18065.43088124316,-1623074.1165047155,1851904.9411487312,-41.23245549259868,-67.71476171605694
11,2022-04-04,1742,-11584,29192.903014790463,-1621332.1165047155,1840320.9411487312,-41.38021563351328,-67.80505195838441
12,2022-04-03,-9020,1794,21313.806719334552,-1630352.1165047155,1842114.9411487312,-41.51023077647725,-67.7380103099004
13,2022-04-02,-3517,1057,17135.133244974535,-1633869.1165047155,1843171.9411487312,-41.555198777687686,-67.70938465422384
14,2022-04-01,3901,-7099,16985.762025423217,-1629968.1165047155,1836072.9411487312,-41.59696836944878,-67.78178364269165
15,2022-03-31,12862,-9632,12188.012736337037,-1617106.1165047155,1826440.9411487312,-41.52124396845632,-67.92601614987062
16,2022-03-30,22930,-14847,65312.37503616169,-1594176.1165047155,1811593.9411487312,-41.347303953117326,-68.1669849025977
17,2022-03-29,28128,-10568,48923.91509839789,-1566048.1165047155,1801025.9411487312,-41.00797465543007,-68.40939845633395
18,2022-03-28,25573,955,36704.89147848154,-1540475.1165047155,1801980.9411487312,-40.52642718674495,-68.55563678146875
19,2022-03-27,11778,-5383,43615.91556211068,-1528697.1165047155,1796597.9411487312,-40.39394084245074,-68.66306774552274
20,2022-03-26,2453,-1376,32881.26360486273,-1526244.1165047155,1795221.9411487312,-40.3701959995104,-68.68720238874349
21,2022-03-25,-6586,-3100,30624.618256514073,-1532830.1165047155,1792121.9411487312,-40.54089190271673,-68.66968255468336
22,2022-03-24,-18087,450,31144.345842135077,-1550917.1165047155,1792571.9411487312,-40.8660647272234,-68.55861136772617
23,2022-03-23,-97,-7521,44525.85217250689,-1551014.1165047155,1785050.9411487312,-40.987071980379156,-68.61003744616585
24,2022-03-22,-702,-12063,32036.465116839317,-1551716.1165047155,1772987.9411487312,-41.19236105467564,-68.6890156091676
25,2022-03-21,4450,496,37691.70815405144,-1547266.1165047155,1773483.9411487312,-41.10288873082389,-68.71239159042925
26,2022-03-20,-3179,-1158,30391.395086363656,-1550445.1165047155,1772325.9411487312,-41.179697783609704,-68.70123316681007
27,2022-03-19,-11263,-1738,27025.98001311754,-1561708.1165047155,1770587.9411487312,-41.413195538402036,-68.64516256651743
28,2022-03-18,-6971,-4738,15704.00605121802,-1568679.1165047155,1765849.9411487312,-41.616038650327305,-68.6353457819683
29,2022-03-17,1843,-7448,8016.926874765606,-1566836.1165047155,1758401.9411487312,-41.70285416233849,-68.69747677177936
30,2022-03-16,7204,-7052,12386.566286990543,-1559632.1165047155,1751349.9411487312,-41.68606771699976,-68.78950195402369
31,2022-03-15,10739,-6590,50737.59325750537,-1548893.1165047155,1744759.9411487312,-41.596744963071615,-68.8998359834832
32,2022-03-14,11831,-7733,49970.83286694494,-1537062.1165047155,1737026.9411487312,-41.505004450290244,-69.0245449191736
33,2022-03-13,9693,-5365,38644.33348422774,-1527369.1165047155,1731661.9411487312,-41.413099167185095,-69.12000273627697
34,2022-03-12,6993,-920,29225.79354727564,-1520376.1165047155,1730741.9411487312,-41.29779834207643,-69.16856656108688
35,2022-03-11,5500,296,26246.88530153333,-1514876.1165047155,1731037.9411487312,-41.190010085987836,-69.19968496919012
36,2022-03-10,2602,-2902,26095.790519171263,-1512274.1165047155,1728135.9411487312,-41.188838760129464,-69.23531838268431
37,2022-03-09,-469,-2028,23410.929109755758,-1512743.1165047155,1726107.9411487312,-41.230988910739654,-69.24644188387879
38,2022-03-08,1038,-1756,21338.35476784674,-1511705.1165047155,1724351.9411487312,-41.24040180914678,-69.26476966637358
39,2022-03-07,4237,-7904,69106.92148198871,-1507468.1165047155,1716447.9411487312,-41.291177140747344,-69.34462708662859
40,2022-03-06,5061,-8949,74150.69739411655,-1502407.1165047155,1707498.9411487312,-41.3441470506394,-69.43660327397133
41,2022-03-05,5931,-9088,66165.30850813971,-1496476.1165047155,1698410.9411487312,-41.383395533189365,-69.53475774026641
42,2022-03-04,1048,-12434,59053.69222805729,-1495428.1165047155,1685976.9411487312,-41.57238983658032,-69.62622340545232
