,date,dx,dy,distance,x,y,lon,lat
0,2022-04-21,5238,-8574,29403.8342414312,-2274203.7726200116,1811959.3587515245,-51.45410794668209,-63.61818108675593
1,2022-04-20,4677,-6447,23290.129527898036,-2269526.7726200116,1805512.3587515245,-51.496146210929844,-63.6890625823524
2,2022-04-19,-10519,-1393,20129.50603681394,-2280045.7726200116,1804119.3587515245,-51.64668098114855,-63.62095134715577
3,2022-04-18,-7344,529,30499.164133874798,-2287389.7726200116,1804648.3587515245,-51.728137443990434,-63.56469426627926
4,2022-04-17,576,-907,25119.233034257235,-2286813.7726200116,1803741.3587515245,-51.7351268455295,-63.57406088202546
5,2022-04-16,3811,-6321,25936.731731400472,-2283002.7726200116,1797420.3587515245,-51.78645131048134,-63.637847171982955
6,2022-04-15,7734,-9816,31876.0957985238,-2275268.7726200116,1787604.3587515245,-51.84443662665877,-63.750029810643994
7,2022-04-14,10628,-19686,35353.69510560255,-2264640.7726200116,1767918.3587515245,-52.02220437222543,-63.93934213187234
8,2022-04-13,10436,-19754,20114.615471825015,-2254204.7726200116,1748164.3587515245,-52.20596882600309,-64.12730785438941
9,2022-04-12,-5026,-9778,4134.771120078351,-2259230.7726200116,1738386.3587515245,-52.42317897040321,-64.14576237889156
10,2022-04-11,-6394,1591,15126.596737322612,-2265624.7726200116,1739977.3587515245,-52.476094761587646,-64.0900396441894
11,2022-04-10,-1103,-8991,17770.511287589594,-2266727.7726200116,1730986.3587515245,-52.632841940511575,-64.13240151825673
12,2022-04-09,4005,-14578,25327.947900366453,-2262722.7726200116,1716408.3587515245,-52.81754292211327,-64.2432602879889
13,2022-04-08,-5650,-6062,27422.231336112825,-2268372.7726200116,1710346.3587515245,-52.983814641158716,-64.23542086075761
14,2022-04-07,3876,-5193,24602.51648114732,-2264496.7726200116,1705153.3587515245,-53.02045801538484,-64.29280380062684
15,2022-04-06,13218,-16969,18123.26160295393,-2251278.7726200116,1688184.3587515245,-53.1345773246269,-64.4842673743467
16,2022-04-05,17807,-18993,3470.4167790977776,-2233471.7726200116,1669191.3587515245,-53.22729712861471,-64.7206027609143
17,2022-04-04,8413,-14206,46259.789291077905,-2225058.7726200116,1654985.3587515245,-53.35835084277775,-64.86100231250987
18,2022-04-03,2834,-10727,39327.86824522742,-2222224.7726200116,1644258.3587515245,-53.501690642830894,-64.9408539082419
19,2022-04-02,-3691,-4327,31066.922944279948,-2225915.7726200116,1639931.3587515245,-53.61927025162905,-64.93717610275007
20,2022-04-01,-440,341,32870.79220665409,-2226355.7726200116,1640272.3587515245,-53.61898947256205,-64.93204935726013
21,2022-03-31,4636,2000,33392.52448597154,-2221719.7726200116,1642272.3587515245,-53.52856993423683,-64.95547290480064
22,2022-03-30,8953,-2504,29758.53838301238,-2212766.7726200116,1639768.3587515245,-53.45974601739379,-65.03548269483275
23,2022-03-29,16085,-9015,79639.00237622765,-2196681.7726200116,1630753.3587515245,-53.41086972322919,-65.20391488203421
24,2022-03-28,20642,-3556,136737.8995904412,-2176039.7726200116,1627197.3587515245,-53.211623055151854,-65.37586003662477
25,2022-03-27,20745,5409,70703.16024450926,-2155294.7726200116,1632606.3587515245,-52.85656836311804,-65.49847428992634
26,2022-03-26,9248,3476,102251.01419103477,-2146046.7726200116,1636082.3587515245,-52.67917833617716,-65.54687732595252
27,2022-03-25,-1646,-1924,73672.86209100994,-2147692.7726200116,1634158.3587515245,-52.73284972829258,-65.54555511757401
28,2022-03-24,-8384,-1275,75258.91733901462,-2156076.7726200116,1632883.3587515245,-52.86189364026395,-65.49119859332971
29,2022-03-23,-4765,-4604,103042.28946928735,-2160841.7726200116,1628279.3587515245,-53.000536296467004,-65.48174852134468
30,2022-03-22,459,-4533,64056.171169419446,-2160382.7726200116,1623746.3587515245,-53.07143132473662,-65.51020724170503
31,2022-03-21,7444,-2020,101479.19932836648,-2152938.7726200116,1621726.3587515245,-53.01068457616604,-65.57611662910311
32,2022-03-20,230,-3213,21728.011215624367,-2152708.7726200116,1618513.3587515245,-53.06233681551104,-65.59558368523568
33,2022-03-19,-5856,-3143,23165.406509089138,-2158564.7726200116,1615370.3587515245,-53.190511518772716,-65.56983367625571
34,2022-03-18,-4353,-5088,29783.263095300623,-2162917.7726200116,1610282.3587515245,-53.33248562629549,-65.56573982731777
