,date,dx,dy,distance,x,y,lon,lat
0,2022-04-10,1878,-11374,32934.99616709482,-1227325.5447804562,1960063.0043517007,-32.05341434053537,-69.08702775792331
1,2022-04-09,1209,-4693,27943.971754129336,-1226116.5447804562,1955370.0043517007,-32.08980590252578,-69.12926352242513
2,2022-04-08,1190,-9369,26639.930360638104,-1224926.5447804562,1946001.0043517007,-32.188705004713,-69.20759031965687
3,2022-04-07,9776,-14677,27725.733376025582,-1215150.5447804562,1931324.0043517007,-32.177284143506384,-69.36874991195675
4,2022-04-06,5793,-15652,30168.19379239111,-1209357.5447804562,1915672.0043517007,-32.26408534469323,-69.51800195209886
5,2022-04-05,14840,-1482,22169.66895296444,-1194517.5447804562,1914190.0043517007,-31.96552006879493,-69.60156298793775
6,2022-04-04,2388,7118,19704.96699224682,-1192129.5447804562,1921308.0043517007,-31.818695681787318,-69.55786818767372
7,2022-04-03,-7188,2309,27211.78356908502,-1199317.5447804562,1923617.0043517007,-31.942302718700862,-69.50525877713221
8,2022-04-02,-1049,-9755,28250.92248636635,-1200366.5447804562,1913862.0043517007,-32.0957712762501,-69.57575800162317
9,2022-04-01,4663,-11676,18474.773927983377,-1195703.5447804562,1902186.0043517007,-32.15324016310559,-69.68876194143695
10,2022-03-31,10989,-896,8269.900152365612,-1184714.5447804562,1901290.0043517007,-31.92748385211852,-69.74895986495207
11,2022-03-30,9903,3901,16770.488270562957,-1174811.5447804562,1905191.0043517007,-31.659525695717615,-69.76633317827651
12,2022-03-29,16802,8972,27413.344546327688,-1158009.5447804562,1914163.0043517007,-31.1726437682564,-69.77639334346264
13,2022-03-28,22247,7605,27067.86133113003,-1135762.5447804562,1921768.0043517007,-30.58303555055045,-69.82106398724176
14,2022-03-27,1471,-1571,25616.52176164019,-1134291.5447804562,1920197.0043517007,-30.571036105925792,-69.8402530762309
15,2022-03-26,-3859,-3150,24215.65523100805,-1138150.5447804562,1917047.0043517007,-30.697598638878926,-69.84704861835803
16,2022-03-25,-10003,895,20823.461539368196,-1148153.5447804562,1917942.0043517007,-30.906354751358823,-69.79323904030787
17,2022-03-24,-6477,-1033,24083.722224746256,-1154630.5447804562,1916909.0043517007,-31.06222789327149,-69.77087014183049
18,2022-03-23,-44,-10335,26704.37435354375,-1154674.5447804562,1906574.0043517007,-31.200270111453083,-69.85146989832047
19,2022-03-22,1666,-6162,19847.947045630444,-1153008.5447804562,1900412.0043517007,-31.245818220414836,-69.90748527062877
20,2022-03-21,-1313,1455,15834.809112005587,-1154321.5447804562,1901867.0043517007,-31.255291064364283,-69.88990369347988
21,2022-03-20,-10414,-369,17517.498686581122,-1164735.5447804562,1901498.0043517007,-31.488959706415596,-69.84326412331762
22,2022-03-19,-13939,-6094,27508.54039164904,-1178674.5447804562,1895404.0043517007,-31.875797726327935,-69.8237623012041
23,2022-03-18,-6084,-14129,21737.36908179279,-1184758.5447804562,1881275.0043517007,-32.20123097292326,-69.9036769464423
24,2022-03-17,3198,-11857,21075.67932263731,-1181560.5447804562,1869418.0043517007,-32.29482177493516,-70.01083834299926
25,2022-03-16,14015,-6183,32090.14598247189,-1167545.5447804562,1863235.0043517007,-32.07219638145876,-70.1267779197271
26,2022-03-15,16587,-3688,40955.75797909043,-1150958.5447804562,1859547.0043517007,-31.75525647158299,-70.23540650209034
27,2022-03-14,16577,-8603,28118.656054555027,-1134381.5447804562,1850944.0043517007,-31.502736416402442,-70.3816118454918
28,2022-03-13,9002,-7859,17138.5726419227,-1125379.5447804562,1843085.0043517007,-31.408054257784684,-70.48565877797434
